,ADC channel,average,error
0,-495.0,3.0,1.0
1,-485.0,3.0,0.0
2,-475.0,1.5,0.5
3,-465.0,2.0,1.0
4,-455.0,4.5,1.5
5,-445.0,5.5,3.5
6,-435.0,6.0,2.0
7,-425.0,8.0,2.0
8,-415.0,10.0,2.0
9,-405.0,8.0,3.0
10,-395.0,13.0,0.0
11,-385.0,8.5,2.5
12,-375.0,12.0,7.0
13,-365.0,9.0,2.0
14,-355.0,7.5,0.5
15,-345.0,8.5,1.5
16,-335.0,10.5,1.5
17,-325.0,8.5,0.5
18,-315.0,7.5,1.5
19,-305.0,10.5,2.5
20,-295.0,8.0,0.0
21,-285.0,5.5,0.5
22,-275.0,9.5,3.5
23,-265.0,7.0,1.0
24,-255.0,6.0,2.0
25,-245.0,7.5,2.5
26,-235.0,4.5,0.5
27,-225.0,4.0,0.0
28,-215.0,3.5,1.5
29,-205.0,4.5,2.5
30,-195.0,3.0,1.0
31,-185.0,7.5,0.5
32,-175.0,5.5,1.5
33,-165.0,3.5,0.5
34,-155.0,8.5,2.5
35,-145.0,5.5,0.5
36,-135.0,3.0,0.0
37,-125.0,8.5,2.5
38,-115.0,12.0,2.0
39,-105.0,11.5,2.5
40,-95.0,12.0,0.0
41,-85.0,19.5,0.5
42,-75.0,31.5,2.5
43,-65.0,46.5,0.5
44,-55.0,64.5,8.5
45,-45.0,80.5,8.5
46,-35.0,125.5,3.5
47,-25.0,172.5,7.5
48,-15.0,221.5,12.5
49,-5.0,277.0,9.0
50,5.0,368.5,2.5
51,15.0,445.0,1.0
52,25.0,565.0,26.0
53,35.0,648.5,28.5
54,45.0,773.5,1.5
55,55.0,871.5,29.5
56,65.0,983.0,4.0
57,75.0,1089.0,1.0
58,85.0,1188.5,25.5
59,95.0,1292.0,33.0
60,105.0,1365.5,7.5
61,115.0,1378.0,90.0
62,125.0,1469.5,16.5
63,135.0,1482.5,10.5
64,145.0,1470.0,18.0
65,155.0,1540.5,17.5
66,165.0,1565.5,44.5
67,175.0,1536.0,17.0
68,185.0,1517.0,41.0
69,195.0,1606.0,50.0
70,205.0,1661.5,50.5
71,215.0,1644.5,72.5
72,225.0,1751.0,22.0
73,235.0,1840.0,22.0
74,245.0,1885.0,67.0
75,255.0,1951.5,7.5
76,265.0,2037.5,10.5
77,275.0,2077.0,9.0
78,285.0,2209.5,47.5
79,295.0,2379.0,63.0
80,305.0,2372.0,35.0
81,315.0,2426.5,10.5
82,325.0,2526.0,14.0
83,335.0,2524.0,20.0
84,345.0,2549.5,31.5
85,355.0,2484.5,27.5
86,365.0,2469.5,35.5
87,375.0,2280.0,4.0
88,385.0,2209.0,13.0
89,395.0,2119.5,93.5
90,405.0,1982.0,75.0
91,415.0,1874.0,28.0
92,425.0,1802.0,20.0
93,435.0,1590.5,46.5
94,445.0,1539.0,63.0
95,455.0,1369.5,54.5
96,465.0,1207.0,27.0
97,475.0,1150.0,17.0
98,485.0,1063.5,35.5
99,495.0,942.5,28.5
100,505.0,871.0,52.0
101,515.0,816.5,27.5
102,525.0,726.0,9.0
103,535.0,658.5,35.5
104,545.0,635.0,12.0
105,555.0,576.5,10.5
106,565.0,546.0,34.0
107,575.0,491.0,37.0
108,585.0,416.5,11.5
109,595.0,392.0,22.0
110,605.0,372.0,26.0
111,615.0,350.5,22.5
112,625.0,333.0,4.0
113,635.0,304.5,2.5
114,645.0,286.0,9.0
115,655.0,271.0,1.0
116,665.0,279.0,13.0
117,675.0,260.5,3.5
118,685.0,260.0,3.0
119,695.0,244.5,15.5
120,705.0,231.5,3.5
121,715.0,236.5,4.5
122,725.0,228.0,19.0
123,735.0,248.0,3.0
124,745.0,237.0,3.0
125,755.0,233.5,12.5
126,765.0,215.5,8.5
127,775.0,235.0,6.0
128,785.0,220.5,31.5
129,795.0,222.5,3.5
130,805.0,218.5,16.5
131,815.0,210.0,18.0
132,825.0,189.0,15.0
133,835.0,186.5,19.5
134,845.0,187.5,1.5
135,855.0,199.5,0.5
136,865.0,181.5,10.5
137,875.0,167.0,6.0
138,885.0,197.0,18.0
139,895.0,183.0,3.0
140,905.0,175.0,6.0
141,915.0,164.0,11.0
142,925.0,178.5,1.5
143,935.0,164.0,24.0
144,945.0,175.5,21.5
145,955.0,166.0,0.0
146,965.0,164.5,11.5
147,975.0,146.0,10.0
148,985.0,170.5,14.5
149,995.0,149.0,5.0
150,1005.0,161.0,12.0
151,1015.0,158.0,6.0
152,1025.0,163.5,2.5
153,1035.0,164.5,5.5
154,1045.0,152.5,5.5
155,1055.0,151.5,13.5
156,1065.0,131.0,7.0
157,1075.0,151.0,21.0
158,1085.0,164.0,38.0
159,1095.0,160.5,7.5
160,1105.0,148.5,2.5
161,1115.0,162.5,5.5
162,1125.0,154.0,10.0
163,1135.0,162.5,11.5
164,1145.0,160.5,4.5
165,1155.0,172.5,0.5
166,1165.0,158.5,5.5
167,1175.0,161.5,1.5
168,1185.0,177.0,28.0
169,1195.0,181.0,15.0
170,1205.0,202.0,10.0
171,1215.0,195.5,7.5
172,1225.0,199.0,3.0
173,1235.0,224.0,5.0
174,1245.0,237.5,12.5
175,1255.0,240.0,34.0
176,1265.0,238.0,1.0
177,1275.0,256.0,2.0
178,1285.0,266.5,9.5
179,1295.0,294.0,22.0
180,1305.0,304.0,24.0
181,1315.0,325.0,28.0
182,1325.0,323.5,20.5
183,1335.0,349.5,20.5
184,1345.0,370.5,0.5
185,1355.0,392.0,0.0
186,1365.0,412.0,10.0
187,1375.0,413.0,9.0
188,1385.0,427.5,3.5
189,1395.0,441.0,29.0
190,1405.0,439.5,4.5
191,1415.0,458.0,0.0
192,1425.0,484.5,14.5
193,1435.0,515.0,6.0
194,1445.0,488.0,0.0
195,1455.0,506.5,15.5
196,1465.0,507.5,19.5
197,1475.0,504.5,1.5
198,1485.0,501.0,4.0
199,1495.0,552.5,5.5
200,1505.0,519.0,9.0
201,1515.0,549.5,4.5
202,1525.0,560.0,6.0
203,1535.0,531.5,22.5
204,1545.0,556.5,16.5
205,1555.0,570.5,24.5
206,1565.0,574.5,0.5
207,1575.0,558.0,30.0
208,1585.0,603.0,54.0
209,1595.0,635.5,3.5
210,1605.0,601.0,34.0
211,1615.0,613.0,21.0
212,1625.0,658.5,21.5
213,1635.0,676.0,38.0
214,1645.0,668.5,20.5
215,1655.0,741.0,12.0
216,1665.0,741.0,16.0
217,1675.0,792.0,16.0
218,1685.0,798.0,62.0
219,1695.0,793.0,25.0
220,1705.0,823.5,47.5
221,1715.0,813.0,27.0
222,1725.0,884.5,10.5
223,1735.0,896.0,27.0
224,1745.0,854.0,32.0
225,1755.0,862.5,14.5
226,1765.0,919.5,0.5
227,1775.0,913.5,11.5
228,1785.0,897.0,9.0
229,1795.0,922.5,13.5
230,1805.0,902.0,10.0
231,1815.0,879.5,8.5
232,1825.0,853.5,47.5
233,1835.0,865.5,39.5
234,1845.0,803.5,10.5
235,1855.0,807.0,5.0
236,1865.0,793.0,14.0
237,1875.0,790.0,12.0
238,1885.0,705.5,34.5
239,1895.0,710.0,25.0
240,1905.0,679.5,9.5
241,1915.0,667.5,12.5
242,1925.0,617.5,12.5
243,1935.0,605.5,17.5
244,1945.0,531.0,9.0
245,1955.0,532.0,24.0
246,1965.0,483.0,2.0
247,1975.0,460.0,2.0
248,1985.0,430.5,21.5
249,1995.0,421.5,2.5
250,2005.0,381.5,5.5
251,2015.0,358.0,15.0
252,2025.0,359.5,19.5
253,2035.0,325.0,8.0
254,2045.0,307.0,10.0
255,2055.0,288.0,4.0
256,2065.0,267.5,10.5
257,2075.0,249.5,1.5
258,2085.0,220.0,10.0
259,2095.0,224.5,1.5
260,2105.0,222.0,22.0
261,2115.0,193.0,13.0
262,2125.0,181.5,4.5
263,2135.0,172.5,4.5
264,2145.0,175.0,8.0
265,2155.0,152.5,26.5
266,2165.0,152.0,11.0
267,2175.0,125.0,5.0
268,2185.0,135.0,17.0
269,2195.0,127.0,10.0
270,2205.0,113.5,4.5
271,2215.0,110.5,7.5
272,2225.0,106.5,6.5
273,2235.0,102.5,4.5
274,2245.0,95.5,17.5
275,2255.0,87.0,7.0
276,2265.0,80.5,6.5
277,2275.0,70.5,5.5
278,2285.0,71.0,2.0
279,2295.0,63.5,4.5
280,2305.0,53.5,2.5
281,2315.0,46.5,1.5
282,2325.0,45.5,3.5
283,2335.0,35.0,2.0
284,2345.0,32.5,4.5
285,2355.0,42.5,0.5
286,2365.0,40.5,5.5
287,2375.0,27.5,4.5
288,2385.0,26.5,4.5
289,2395.0,25.0,5.0
290,2405.0,18.5,1.5
291,2415.0,24.0,1.0
292,2425.0,17.0,2.0
293,2435.0,17.5,5.5
294,2445.0,13.0,2.0
295,2455.0,12.0,3.0
296,2465.0,8.5,0.5
297,2475.0,8.0,2.0
298,2485.0,9.0,1.0
299,2495.0,5.5,0.5
300,2505.0,8.5,0.5
301,2515.0,2.5,0.5
302,2525.0,6.5,2.5
303,2535.0,2.5,1.5
304,2545.0,3.5,1.5
305,2555.0,2.0,2.0
306,2565.0,3.5,0.5
307,2575.0,3.5,0.5
308,2585.0,2.5,1.5
309,2595.0,2.5,0.5
310,2605.0,2.0,1.0
311,2615.0,1.0,0.0
312,2625.0,2.5,0.5
313,2635.0,0.5,0.5
314,2645.0,2.5,0.5
315,2655.0,1.0,0.0
316,2665.0,2.5,1.5
317,2675.0,2.0,0.0
318,2685.0,1.0,1.0
319,2695.0,1.5,0.5
320,2705.0,1.0,0.0
321,2715.0,2.5,0.5
322,2725.0,1.5,0.5
323,2735.0,2.0,0.0
324,2745.0,1.0,0.0
325,2755.0,1.0,1.0
326,2765.0,0.5,0.5
327,2775.0,1.0,1.0
328,2785.0,1.5,0.5
329,2795.0,2.5,2.5
330,2805.0,1.5,0.5
331,2815.0,1.5,0.5
332,2825.0,2.0,1.0
333,2835.0,1.0,1.0
334,2845.0,1.0,1.0
335,2855.0,2.0,1.0
336,2865.0,1.0,0.0
337,2875.0,2.0,0.0
338,2885.0,0.5,0.5
339,2895.0,1.5,0.5
340,2905.0,1.5,1.5
341,2915.0,1.5,1.5
342,2925.0,1.0,1.0
343,2935.0,2.0,1.0
344,2945.0,1.5,0.5
345,2955.0,1.0,1.0
346,2965.0,1.0,1.0
347,2975.0,0.5,0.5
348,2985.0,0.0,0.0
349,2995.0,1.5,0.5
350,3005.0,2.0,1.0
351,3015.0,1.5,0.5
352,3025.0,1.0,1.0
353,3035.0,1.5,0.5
354,3045.0,3.5,0.5
355,3055.0,2.5,0.5
356,3065.0,0.5,0.5
357,3075.0,1.0,1.0
358,3085.0,0.5,0.5
359,3095.0,2.5,0.5
360,3105.0,1.5,1.5
361,3115.0,0.5,0.5
362,3125.0,1.5,1.5
363,3135.0,0.5,0.5
364,3145.0,2.0,1.0
365,3155.0,1.0,1.0
366,3165.0,0.5,0.5
367,3175.0,0.5,0.5
368,3185.0,1.0,0.0
369,3195.0,1.0,1.0
370,3205.0,1.0,0.0
371,3215.0,1.5,1.5
372,3225.0,1.0,0.0
373,3235.0,2.0,1.0
374,3245.0,0.0,0.0
375,3255.0,0.0,0.0
376,3265.0,1.0,1.0
377,3275.0,1.5,0.5
378,3285.0,0.0,0.0
379,3295.0,0.5,0.5
380,3305.0,1.0,0.0
381,3315.0,1.0,0.0
382,3325.0,0.5,0.5
383,3335.0,1.5,0.5
384,3345.0,1.0,1.0
385,3355.0,1.5,0.5
386,3365.0,0.5,0.5
387,3375.0,0.0,0.0
388,3385.0,1.5,0.5
