,ADC channel,average,error
0,-495.0,1.6666666666666667,2.333333333333333
1,-485.0,3.3333333333333335,1.3333333333333335
2,-475.0,1.3333333333333333,1.3333333333333333
3,-465.0,1.6666666666666667,0.6666666666666667
4,-455.0,2.0,0.0
5,-445.0,1.0,1.0
6,-435.0,4.333333333333333,1.666666666666667
7,-425.0,3.0,0.0
8,-415.0,3.3333333333333335,3.6666666666666665
9,-405.0,3.0,1.0
10,-395.0,5.0,0.0
11,-385.0,6.666666666666667,3.666666666666667
12,-375.0,4.0,2.0
13,-365.0,7.0,1.0
14,-355.0,4.333333333333333,1.333333333333333
15,-345.0,4.666666666666667,0.666666666666667
16,-335.0,5.666666666666667,1.666666666666667
17,-325.0,6.333333333333333,2.666666666666667
18,-315.0,6.0,3.0
19,-305.0,8.333333333333334,2.666666666666666
20,-295.0,5.0,4.0
21,-285.0,8.0,3.0
22,-275.0,7.333333333333333,4.333333333333333
23,-265.0,3.6666666666666665,1.6666666666666665
24,-255.0,6.333333333333333,0.666666666666667
25,-245.0,5.0,1.0
26,-235.0,5.666666666666667,3.666666666666667
27,-225.0,4.333333333333333,2.666666666666667
28,-215.0,2.3333333333333335,1.6666666666666665
29,-205.0,2.6666666666666665,2.6666666666666665
30,-195.0,3.0,1.0
31,-185.0,4.0,1.0
32,-175.0,4.333333333333333,0.666666666666667
33,-165.0,2.0,1.0
34,-155.0,3.6666666666666665,2.6666666666666665
35,-145.0,2.0,2.0
36,-135.0,2.6666666666666665,1.6666666666666665
37,-125.0,4.333333333333333,0.666666666666667
38,-115.0,7.0,2.0
39,-105.0,11.666666666666666,7.666666666666666
40,-95.0,18.333333333333332,7.666666666666668
41,-85.0,21.666666666666668,7.666666666666668
42,-75.0,30.0,18.0
43,-65.0,36.0,12.0
44,-55.0,57.0,9.0
45,-45.0,67.66666666666667,13.666666666666671
46,-35.0,90.66666666666667,11.333333333333329
47,-25.0,124.33333333333333,20.33333333333333
48,-15.0,138.66666666666666,24.666666666666657
49,-5.0,199.66666666666666,14.666666666666657
50,5.0,225.66666666666666,8.333333333333343
51,15.0,300.6666666666667,10.666666666666686
52,25.0,338.0,53.0
53,35.0,427.0,15.0
54,45.0,535.3333333333334,4.666666666666629
55,55.0,612.3333333333334,19.33333333333337
56,65.0,687.0,34.0
57,75.0,815.6666666666666,22.33333333333337
58,85.0,919.6666666666666,48.33333333333337
59,95.0,1116.6666666666667,58.66666666666674
60,105.0,1240.0,28.0
61,115.0,1413.6666666666667,74.66666666666674
62,125.0,1600.3333333333333,36.66666666666674
63,135.0,1843.0,84.0
64,145.0,2078.3333333333335,16.333333333333485
65,155.0,2420.3333333333335,65.66666666666652
66,165.0,2725.3333333333335,36.333333333333485
67,175.0,3066.0,99.0
68,185.0,3508.0,6.0
69,195.0,3882.0,102.0
70,205.0,4402.0,86.0
71,215.0,4754.666666666667,65.66666666666697
72,225.0,5373.0,59.0
73,235.0,5777.333333333333,157.66666666666697
74,245.0,6125.0,102.0
75,255.0,6440.0,45.0
76,265.0,6889.666666666667,159.66666666666697
77,275.0,7177.0,108.0
78,285.0,7301.333333333333,58.33333333333303
79,295.0,7390.666666666667,34.66666666666697
80,305.0,7325.666666666667,70.33333333333303
81,315.0,7387.333333333333,107.33333333333303
82,325.0,7240.666666666667,134.33333333333303
83,335.0,6986.0,45.0
84,345.0,6816.0,93.0
85,355.0,6484.0,56.0
86,365.0,6026.0,64.0
87,375.0,5693.0,57.0
88,385.0,5235.666666666667,79.33333333333303
89,395.0,4776.333333333333,39.66666666666697
90,405.0,4372.666666666667,90.66666666666697
91,415.0,3942.0,143.0
92,425.0,3660.6666666666665,82.66666666666652
93,435.0,3214.0,53.0
94,445.0,2978.6666666666665,43.333333333333485
95,455.0,2645.0,95.0
96,465.0,2322.6666666666665,27.333333333333485
97,475.0,2103.3333333333335,52.666666666666515
98,485.0,1936.3333333333333,32.33333333333326
